server,status
37.244.32.18,bad
37.244.32.23,good
37.244.32.35,bad
37.244.32.46,good
37.244.32.66,good
37.244.32.80,bad
37.244.32.87,bad
37.244.32.98,good
37.244.32.114,bad
37.244.32.143,bad
37.244.32.157,good
37.244.32.158,bad
37.244.32.168,bad
37.244.32.182,bad
37.244.32.183,bad
37.244.32.187,bad
37.244.32.197,bad
37.244.32.229,bad
37.244.32.230,bad
37.244.32.246,bad
37.244.32.247,bad
37.244.32.249,good
37.244.33.16,bad
37.244.33.19,good
37.244.33.32,good
37.244.33.38,good
37.244.33.43,good
37.244.33.46,bad
37.244.33.47,good
37.244.33.77,good
37.244.33.80,good
37.244.33.82,good
37.244.33.94,good
37.244.33.101,bad
37.244.33.102,good
37.244.33.109,bad
37.244.33.111,bad
37.244.33.114,good
37.244.33.119,good
37.244.33.122,good
37.244.33.124,good
37.244.33.135,good
37.244.33.140,good
37.244.33.141,bad
37.244.33.149,bad
37.244.33.151,bad
37.244.33.153,good
37.244.33.158,good
37.244.33.172,bad
37.244.33.174,good
37.244.33.177,bad
37.244.33.183,good
37.244.33.189,bad
37.244.33.205,bad
37.244.33.206,bad
37.244.33.216,bad
37.244.33.220,good
37.244.33.242,good
